index,y
22606,0.030722354
22607,0.0026137494
22608,0.02206461
22609,0.042670615
22610,0.09423637
22611,0.2105501
22612,0.05850796
22613,0.24899018
22614,0.043128997
22615,0.089766674
22616,0.023892792
22617,0.43765178
22618,0.10961373
22619,0.21319759
22620,0.057824984
22621,0.085306756
22622,0.08703683
22623,0.09660584
22624,0.81486744
22625,0.012768388
22626,0.108631894
22627,0.05615721
22628,0.0637105
22629,0.060235243
22630,0.021941962
22631,0.030671094
22632,0.020063885
22633,0.042045757
22634,0.084497645
22635,0.010171451
22636,0.3442534
22637,0.044248242
22638,0.0579298
22639,0.012850426
22640,0.06434223
22641,0.14910515
22642,0.07165774
22643,0.01959495
22644,0.05629609
22645,0.12224253
22646,0.027379494
22647,0.09409229
22648,0.19974633
22649,0.089929
22650,0.038516108
22651,0.10018009
22652,0.08532275
22653,-0.014363201
22654,0.25825256
22655,0.073069744
22656,0.045697846
22657,0.012394583
22658,-0.013690053
22659,0.052934606
22660,0.8460306
22661,0.051695224
22662,0.2539849
22663,0.44194433
22664,0.03575457
22665,0.070979625
22666,0.023793321
22667,0.42735857
22668,-0.031395875
22669,0.04960004
22670,-0.06348746
22671,0.61358714
22672,0.01681848
22673,0.020410337
22674,0.09072512
22675,0.04650965
22676,-0.0041589118
22677,0.38622126
22678,0.39820483
22679,0.059781052
22680,0.0031980781
22681,0.009191083
22682,0.8406911
22683,0.3091784
22684,0.8261465
22685,0.4124461
22686,0.6579357
22687,0.03225913
22688,0.04332766
22689,0.046434913
22690,0.052692268
22691,0.026109643
22692,0.027054101
22693,0.14794226
22694,0.029641764
22695,0.084619604
22696,0.14969984
22697,0.33777764
22698,0.067001946
22699,0.02953655
22700,0.058910437
22701,0.046404116
22702,0.016502576
22703,0.084881335
22704,0.036225837
22705,0.062876284
22706,0.065076716
22707,0.07194817
22708,0.023757784
22709,0.05843693
22710,0.26185966
22711,0.09739796
22712,0.047097016
22713,0.008455304
22714,0.052418794
22715,0.052605115
22716,0.06580698
22717,0.010739399
22718,0.0017256492
22719,0.11227923
22720,0.04145296
22721,0.054461986
